Date,shirt,hat,tote bag,canvas print,poster,sticker,hoodie,mug,socks,blanket,calendar,backpack,phone case,mousepad,keychain
50,"Feb 2025,68Feb 2025,73","Feb 2025,73Feb 2025,78","Feb 2025,62Feb 2025,70","Feb 2025,76Feb 2025,70","Feb 2025,90Feb 2025,76","Feb 2025,82Feb 2025,80","Feb 2025,50","Feb 2025,54","Feb 2025,41","Feb 2025,47","Feb 2025,58","Feb 2025,34","Feb 2025,67","Feb 2025,59","Feb 2025,67"
51,"Mar 2025,68Mar 2025,81","Mar 2025,77Mar 2025,76","Mar 2025,64Mar 2025,73","Mar 2025,64Mar 2025,63","Mar 2025,91Mar 2025,71","Mar 2025,86Mar 2025,84","Mar 2025,39","Mar 2025,49","Mar 2025,42","Mar 2025,40","Mar 2025,55","Mar 2025,38","Mar 2025,68","Mar 2025,58","Mar 2025,69"
52,"Apr 2025,74Apr 2025,83","Apr 2025,80Apr 2025,78","Apr 2025,74Apr 2025,75","Apr 2025,69Apr 2025,61","Apr 2025,93Apr 2025,70","Apr 2025,82Apr 2025,84","Apr 2025,35","Apr 2025,52","Apr 2025,39","Apr 2025,37","Apr 2025,52","Apr 2025,38","Apr 2025,66","Apr 2025,53","Apr 2025,69"
53,"May 2025,76May 2025,88","May 2025,83May 2025,89","May 2025,73May 2025,83","May 2025,58May 2025,64","May 2025,87May 2025,69","May 2025,87May 2025,86","May 2025,29","May 2025,51","May 2025,40","May 2025,38","May 2025,49","May 2025,42","May 2025,67","May 2025,56","May 2025,72"
54,"Jun 2025,85Jun 2025,96","Jun 2025,84Jun 2025,84","Jun 2025,72Jun 2025,83","Jun 2025,44Jun 2025,64","Jun 2025,79Jun 2025,73","Jun 2025,90Jun 2025,89","Jun 2025,26","Jun 2025,50","Jun 2025,42","Jun 2025,36","Jun 2025,44","Jun 2025,52","Jun 2025,71","Jun 2025,59","Jun 2025,77"
55,"Jul 2025,100Jul 2025,99","Jul 2025,88Jul 2025,100","Jul 2025,89Jul 2025,92","Jul 2025,44Jul 2025,70","Jul 2025,90Jul 2025,81","Jul 2025,99Jul 2025,96","Jul 2025,32","Jul 2025,53","Jul 2025,44","Jul 2025,42","Jul 2025,56","Jul 2025,100","Jul 2025,90","Jul 2025,71","Jul 2025,89"
56,"Aug 2025,86Aug 2025,100","Aug 2025,87Aug 2025,90","Aug 2025,90Aug 2025,89","Aug 2025,80Aug 2025,71","Aug 2025,99Aug 2025,79","Aug 2025,100Aug 2025,100","Aug 2025,36","Aug 2025,51","Aug 2025,47","Aug 2025,44","Aug 2025,62","Aug 2025,91","Aug 2025,74","Aug 2025,69","Aug 2025,90"
57,"Sep 2025,77Sep 2025,95","Sep 2025,79Sep 2025,83","Sep 2025,65Sep 2025,77","Sep 2025,96Sep 2025,68","Sep 2025,99Sep 2025,69","Sep 2025,93Sep 2025,87","Sep 2025,40","Sep 2025,50","Sep 2025,43","Sep 2025,43","Sep 2025,59","Sep 2025,46","Sep 2025,80","Sep 2025,62","Sep 2025,73"
58,"Oct 2025,69Oct 2025,93","Oct 2025,91Oct 2025,80","Oct 2025,60Oct 2025,73","Oct 2025,92Oct 2025,64","Oct 2025,99Oct 2025,70","Oct 2025,93Oct 2025,87","Oct 2025,52","Oct 2025,54","Oct 2025,50","Oct 2025,52","Oct 2025,63","Oct 2025,36","Oct 2025,76","Oct 2025,56","Oct 2025,67"
59,"Nov 2025,76Nov 2025,81","Nov 2025,88Nov 2025,84","Nov 2025,83Nov 2025,90","Nov 2025,72Nov 2025,83","Nov 2025,91Nov 2025,84","Nov 2025,86Nov 2025,85","Nov 2025,77","Nov 2025,76","Nov 2025,67","Nov 2025,81","Nov 2025,73","Nov 2025,43","Nov 2025,94","Nov 2025,78","Nov 2025,87"
